	strings	type
0	178th short of	query
1	1st earl of	query
2	a commercial and critical failure after release in	query
3	a lifestyle and food blog for	query
4	a living in the gift of	query
5	a sequel to	query
6	a tributary of	query
7	aa naluguru	query
8	abandoned	query
9	abandoned after	query
10	abbess of	query
11	abbreviated as	query
12	abbreviations include	query
13	abdicated	query
14	abdicated his throne to	query
15	abdicated in	query
16	abdicated in favor of	query
17	abdicated in favour of	query
18	abdicated on	query
19	abdicated the throne for the second and last time in	query
20	abdicated the throne in	query
21	abdicated to	query
22	abducted	query
23	abducted by	query
24	abolished in	query
25	abolished monarchy in	query
26	about	query
27	about which film was produced in	query
28	acceded to the throne as	query
29	accepted	query
30	accepted by	query
31	accepted offer from	query
32	accepted the resignation of	query
33	accepts	query
34	accessed to	query
35	accessioned in	query
36	acclaimed at	query
37	acclaimed by	query
38	acclaimed for	query
39	accompanied	query
40	accompanied his father to	query
41	accompanies	query
42	accompanying music video directed by	query
43	accompanying the release of	query
44	accorded title of	query
45	account of	query
46	accredited by	query
47	accredited to	query
48	accused	query
49	accused of	query
50	accused of involvement in	query
51	achieved	query
52	achieved a career high singles ranking of	query
53	achieved chart success in	query
54	achieved dominion status in	query
55	achieved personal best time in	query
56	achieved personal best time of	query
57	achieved popularity with	query
58	achieved rank of	query
59	achieved ranking in	query
60	achieved ranking of	query
61	achieved success with	query
62	achieved victories over	query
63	achieved victories with	query
64	acknowledged	query
65	acknowledged santa fe as	query
66	acknowledged the rule of	query
67	acquired	query
68	acquired by	query
69	acquired for	query
70	acquired for distribution by	query
71	acquired in	query
72	acquired rights to	query
73	acquired the rights with	query
74	acquired wealth through	query
75	acquired wealth through piracy activity on	query
76	acted against	query
77	acted as	query
78	acted as an educator in the family of	query
79	acted as governor in	query
80	acted as peacemaker during	query
81	acted as regent of	query
82	acted as representative for	query
83	acted between	query
84	acted by	query
85	acted in	query
86	acted in films of	query
87	acted on	query
88	acted till	query
89	acting chairman of	query
90	active at	query
91	active during	query
92	active from	query
93	active in	query
94	active with	query
95	activist against	query
96	activities during	query
97	activities in	query
98	actor of	query
99	acts as	query
100	adaptation from	query
101	adaptation of	query
102	adapted	query
103	adapted  arranged  and conducted by	query
104	adapted as film with script by	query
105	adapted by	query
106	adapted for	query
107	adapted for the screen by	query
108	adapted from	query
109	adapted from novel by	query
110	adapted from the book	query
111	adapted in	query
112	adapted into	query
113	adapted into film in	query
114	adapted to screen by	query
115	added	query
116	added lyrics in	query
117	added lyrics to	query
118	added to	query
119	additional production by	query
120	additional shooting took place at	query
121	addressed to	query
122	addresses	query
123	adjacent to	query
124	adjoins	query
125	administers	query
126	administrative center was	query
127	admire	query
128	admired	query
129	admissions described as	query
130	admitted	query
131	admitted as member of	query
132	admitted to	query
133	adopted	query
134	adopted after	query
135	adopted by	query
136	adopted in	query
137	adopted on	query
138	adopted the name	query
139	adopted the stage name of	query
140	adoptive son of	query
141	advance to	query
142	advertised as	query
143	advertised in	query
144	advertised with	query
145	advised	query
146	advisor to	query
147	advocate for	query
148	advocate of	query
149	advocated at	query
150	advocated for	query
151	advocates for	query
152	affair led to death of	query
153	affected by	query
154	affecting	query
155	affiliated to	query
156	affiliated with	query
157	affirmed	query
158	after the death of	query
159	against	query
160	age is	query
161	aged	query
162	agreed to retire in	query
163	agreed to retire with	query
164	agreed to spend	query
165	agrees to tell his story to	query
166	aided	query
167	aided by	query
168	aided the production of	query
169	aided victor iii in taking the vatican hill from	query
170	aimed at providing	query
171	aimed to	query
172	aimed to disrupt	query
173	aired	query
174	aired for	query
175	aired from	query
176	aired in	query
177	aired on	query
178	aired until	query
179	airs on	query
180	album	query
181	album is	query
182	album name	query
183	album of	query
184	album produced by	query
185	alerted	query
186	aligned against	query
187	aligned himself with	query
188	aligned with	query
189	alleged	query
190	alleged member of	query
191	alleged to be sealed in	query
192	alleged to have affair with	query
193	alleged to have raped	query
194	allegedly poisoned by	query
195	allied	query
196	allied with	query
197	allowed to marry	query
198	along with	query
199	also became count of nassau saarbr cken in	query
200	also billed as	query
201	also called	query
202	also credited as	query
203	also entitled	query
204	also given to	query
205	also in	query
206	also includes	query
207	also known as	query
208	also plays as	query
209	also referred to as	query
210	also released as	query
211	also rendered as	query
212	also spelled as	query
213	also studied under	query
214	also the subject of	query
215	also wrote under	query
216	altered family name to	query
217	altered in	query
218	alternative title	query
219	alternative version for overseas release of	query
220	altitude	query
221	amalgamation of	query
222	ambassador for	query
223	amended	query
224	amended by	query
225	american title is	query
226	an adaptation of	query
227	analyzed	query
228	analyzes the life of	query
229	ancestor of	query
230	ancestral territories of	query
231	ancestress of	query
232	and	query
233	animated by	query
234	annexed	query
235	annexed by	query
236	annexed to	query
237	announced	query
238	announced as	query
239	announced at	query
240	announced by	query
241	announced in	query
242	announced plans to reorganize as	query
243	announced the launch of	query
244	announced to direct biopic of	query
245	annulled marriage in	query
246	another hebrew lexicographer with	query
247	anthropomorphizes	query
248	anticipated	query
249	apologised to	query
250	appealed by	query
251	appealed to	query
252	appeared as	query
253	appeared as a judge on	query
254	appeared as actor in	query
255	appeared at	query
256	appeared between	query
257	appeared in	query
258	appeared in film	query
259	appeared in films between	query
260	appeared in films such as	query
261	appeared off	query
262	appeared on	query
263	appeared on album	query
264	appeared on screen as	query
265	appeared on television during	query
266	appeared with	query
267	appears as	query
268	appears in	query
269	appears on	query
270	applies in	query
271	applies to	query
272	appointed	query
273	appointed as	query
274	appointed as captain in	query
275	appointed as director of	query
276	appointed as governor of	query
277	appointed as professor of	query
278	appointed assistant national director of	query
279	appointed by	query
280	appointed chairman of	query
281	appointed colonel of	query
282	appointed deputies to govern in	query
283	appointed governor of	query
284	appointed head of	query
285	appointed in	query
286	appointed military and civil governor of	query
287	appointed military commander in	query
288	appointed on	query
289	appointed poet in residence at	query
290	appointed queen regent in	query
291	appointed to	query
292	appointed to command	query
293	apprentice with	query
294	apprenticed under	query
295	appropriated responsibilities during production of	query
296	appropriates	query
297	approved	query
298	approved by	query
299	approximately	query
300	archbishop of	query
301	archduchess of	query
302	are	query
303	are being raised in	query
304	are characterized by	query
305	are considered to be	query
306	are from	query
307	are members of	query
308	are played by	query
309	are set in	query
310	argued by means of	query
311	argued for the authenticity of	query
312	arises from	query
313	arises in	query
314	arranged	query
315	arranged action scenes for	query
316	arranged action scenes with	query
317	arrested	query
318	arrested by	query
319	arrested during	query
320	arrested for	query
321	arrested in	query
322	arrived at	query
323	arrived in	query
324	arrives on	query
325	art direction by	query
326	art direction overseen by	query
327	art director	query
328	art directors are	query
329	artist name based on	query
330	artistic director from	query
331	artwork created by	query
332	as	query
333	as a duo with	query
334	as of	query
335	ascended as	query
336	ascended the throne	query
337	ascended the throne as	query
338	ascended the throne in	query
339	ascended to	query
340	ascended to the throne of	query
341	ascended to the throne under the regency of	query
342	ascension as ruler of	query
343	ascension in	query
344	asked	query
345	asked hand in marriage of	query
346	assassinated	query
347	assassinated at	query
348	assassinated by	query
349	assassinated in	query
350	assassinated on	query
351	assassinated on the orders of	query
352	assassinated using	query
353	assassination sparked	query
354	assembled	query
355	assembled to select	query
356	asserted authority over	query
357	assigned	query
358	assigned separate governor	query
359	assigned to	query
360	assigned to suppress	query
361	assistant director for	query
362	assistant director of	query
363	assistant of	query
364	assisted	query
365	assisted by	query
366	assisted in	query
367	assists	query
368	associate of	query
369	associate producer	query
370	associate producer on	query
371	associated with	query
372	assumed duties of	query
373	assumed name of	query
374	assumed office in	query
375	assumed office on	query
376	assumed position of	query
377	assumed seat in	query
378	assumed the additional name of	query
379	assumed the name	query
380	assumed the regency while	query
381	assumed the surname of	query
382	assumed the title of	query
383	assumed titles of	query
384	at	query
385	at the end of	query
386	at the place of	query
387	atoned for brutal treatment of	query
388	attached to	query
389	attack on	query
390	attacked	query
391	attacks	query
392	attained majority on	query
393	attained to the rank of	query
394	attempt to escape	query
395	attempted suicide on the day of	query
396	attempted to disrupt	query
397	attempted to invade the northern border lands of	query
398	attempted to mediate between	query
399	attempted to poison	query
400	attempted to prove	query
401	attempted to repeal	query
402	attempted to repeal at	query
403	attempted to repeal by	query
404	attempted to sabotage	query
405	attempted to start	query
406	attempted to transfer territories of	query
407	attempts to free himself from	query
408	attempts to recruit	query
409	attempts to redefine	query
410	attended	query
411	attended by	query
412	attended high school with	query
413	attended the funeral of	query
414	attends	query
415	attracted	query
416	attracted by	query
417	attracted to	query
418	attracts students from	query
419	attributed to	query
420	attributes osthryth s murder to	query
421	audited courses at	query
422	aunt of	query
423	author of	query
424	authored	query
425	authored articles under	query
426	authored biography of	query
427	authored book about	query
428	authored by	query
429	authorized to raise armies in	query
430	authorship of	query
431	available in	query
432	available on	query
433	available with	query
434	avenges	query
435	averaged	query
436	avoided confusion with	query
437	awakens	query
438	awakes to	query
439	award at	query
440	awarded	query
441	awarded at	query
442	awarded by	query
443	awarded damages for	query
444	awarded for	query
445	awarded in	query
446	awarded membership into	query
447	awarded on	query
448	awarded residencies to	query
449	awarded status of fellow in	query
450	awarded the title of	query
451	awarded to	query
452	awarded with	query
453	awards	query
454	b side for	query
455	b side to	query
456	backed by	query
457	backing band for	query
458	bandmate of	query
459	banished by	query
460	bankrolled	query
461	banned	query
462	banned by	query
463	baptised by	query
464	baptised on	query
465	baptized on	query
466	based at	query
467	based in	query
468	based on	query
469	based on a novel by	query
470	based on a story by	query
471	based on book by	query
472	based on character from novels by	query
473	based on characters from	query
474	based on music by	query
475	based on novel	query
476	based on novel by	query
477	based on novel published in	query
478	based on novels by	query
479	based on play by	query
480	based on story by	query
481	based on the life of	query
482	based on the lives of	query
483	based on the novel	query
484	based on the play	query
485	based on the story by	query
486	based symphony concertante on	query
487	based upon	query
488	based upon the novel by	query
489	basis for movie version starring	query
490	basis of	query
491	battled	query
492	battled on behalf of	query
493	battled to have	query
494	battles	query
495	bears	query
496	beat	query
497	beatified by	query
498	became	query
499	became a byword for	query
500	became a hit for	query
501	became a lawyer in	query
502	became a member of	query
503	became a regular judge in	query
504	became a star of	query
505	became a subject of	query
506	became abbess of	query
507	became an appellate judge pro tem in	query
508	became assistant private secretary to	query
509	became attorney to	query
510	became captain and colonel of	query
511	became chairman of	query
512	became chief queen of	query
513	became city secretary of	query
514	became closer to	query
515	became coeducational in	query
516	became councillor for	query
517	became count in	query
518	became count of nassau weilburg in	query
519	became count palatine in	query
520	became countess of	query
521	became countess of burgundy in	query
522	became countess of essex by marriage to	query
523	became dauphin of france in	query
524	became director of	query
525	became disabled after	query
526	became duke of limburg in	query
527	became duke of medina sidonia in	query
528	became editor of	query
529	became emir in	query
530	became emir of	query
531	became emperor	query
532	became emperor after	query
533	became extinct upon the death of	query
534	became film star in	query
535	became friend of	query
536	became general to	query
537	became head in	query
538	became head of	query
539	became head of production for	query
540	became head of state after	query
541	became hit with	query
542	became involved in	query
543	became king following the death of	query
544	became king in	query
545	became king of	query
546	became king on	query
547	became known for	query
548	became known for views of	query
549	became lady of	query
550	became lord of	query
551	became member in	query
552	became member of	query
553	became mother of	query
554	became notable for her influence over	query
555	became organist at	query
556	became part of	query
557	became partisan of	query
558	became president of	query
559	became queen consort of	query
560	became queen of	query
561	became regent of	query
562	became sadaijin in	query
563	became sessho for	query
564	became spouse of	query
565	became stadtholder of	query
566	became stepmother of	query
567	became the 1st duke of cleves in	query
568	became the count of	query
569	became the duke of	query
570	became the editor of	query
571	became the first performer to	query
572	became the second wife of	query
573	became the sole ruler of	query
574	became the spokesman and director of poker programming at	query
575	became the sub editor of	query
576	became the sultan of	query
577	became the wife of	query
578	became vassal of	query
579	became viscount powerscourt in	query
580	became well known in	query
581	became widow and married	query
582	became widow during	query
583	becomes	query
584	becomes involved with	query
585	becomes transformed into	query
586	bedridden in	query
587	befriend	query
588	befriended	query
589	befriends	query
590	began a relationship with	query
591	began acting career at	query
592	began career at	query
593	began career during	query
594	began career in	query
595	began career in the reign of	query
596	began construction of	query
597	began development of	query
598	began directoral career at	query
599	began film career in	query
600	began his rule in	query
601	began in	query
602	began losing vision at	query
603	began making	query
604	began military career in	query
605	began production in	query
606	began singing career in	query
607	began theatrical release in	query
608	began to direct in	query
609	began to explore	query
610	began to flourish as	query
611	began to tour with	query
612	began work for	query
613	began working as	query
614	begins to fall apart	query
615	begins with	query
616	being adapted for film by	query
617	being chased by	query
618	being filmed at	query
619	being produced in	query
620	believed	query
621	believed in	query
622	belong to	query
623	belonged to	query
624	belonged to the trend of	query
625	belongs to	query
626	belongs to family	query
627	beloved of	query
628	benefited from	query
629	benefits from	query
630	benefitted from	query
631	bequeathed	query
632	besieged	query
633	best known as the creator of	query
634	best known for	query
635	best known for composing	query
636	best known for directing	query
637	best known for her role in	query
638	best known for playing	query
639	best known for producing	query
640	best known for role in	query
641	best known for roles in	query
642	best known for writing	query
643	best remembered for	query
644	best remembered for role in	query
645	best selling solo artist in	query
646	bestowed power on	query
647	betrayed	query
648	betrayed by	query
649	betrothal to	query
650	betrothed to	query
651	better known as	query
652	better than	query
653	between	query
654	billed as	query
655	billed under	query
656	biographer is	query
657	biography by	query
658	birth date	query
659	birth name	query
660	birth name is	query
661	birth name was	query
662	bishop of	query
663	blame	query
664	blamed for	query
665	blended	query
666	boasted that	query
667	body was re autopsied in	query
668	boosted the career of	query
669	border of	query
670	bordered by	query
671	bore	query
672	born	query
673	born and raised in	query
674	born as	query
675	born at	query
676	born between	query
677	born in	query
678	born into	query
679	born near	query
680	born on	query
681	born to	query
682	borrowed from	query
683	bought	query
684	bought back	query
685	bought the rights from	query
686	bounded by	query
687	bowls	query
688	box office of	query
689	bred	query
690	breeding	query
691	bridged	query
692	briefly lived in	query
693	brings back	query
694	brings home	query
695	british version of	query
696	broadcast	query
697	broadcast by	query
698	broadcast on	query
699	broadcast since	query
700	broadcasted	query
701	broadcasted for	query
702	broadcasted in	query
703	broadcasted on	query
704	broadcasted to	query
705	broadcasting	query
706	broadened	query
707	broadway play by	query
708	broke	query
709	broke from	query
710	broke up in	query
711	broke up relationship with	query
712	broken his hand during	query
713	brother in law of	query
714	brother in law to	query
715	brother is	query
716	brother of	query
717	brother was	query
718	brought	query
719	brought estates into	query
720	brought together	query
721	brought under	query
722	brought up by	query
723	budget	query
724	budget of	query
725	built	query
726	built a house for	query
727	built by	query
728	built for	query
729	built his studio in	query
730	built in	query
731	built or restored fortifications to	query
732	built the haffar channel  that joined	query
733	built the port of	query
734	buried at	query
735	buried beside	query
736	buried in	query
737	buried on	query
738	buried under the name	query
739	buried with	query
740	buried within	query
741	burned at the stake on	query
742	business partner of	query
743	business passed to	query
744	by	query
745	by marriage	query
746	by the band	query
747	bypassed in favour of	query
748	cadet branch of	query
749	called	query
750	called by	query
751	called for	query
752	called himself	query
753	called out of	query
754	called to	query
755	calls	query
756	came from	query
757	came into conflicts with	query
758	came into control of	query
759	came into power after	query
760	came of age in	query
761	came on	query
762	came out after	query
763	came out earlier the same year as	query
764	came out in	query
765	came out on	query
766	came to	query
767	came to offer	query
768	came to prominence in	query
769	came under the influence of	query
770	came via	query
771	came with	query
772	cameo by	query
773	camera work handled by	query
774	campaign for	query
775	campaigned against	query
776	campaigning alongside	query
777	camped in	query
778	can be awarded to	query
779	can be contacted at	query
780	can be downloaded from	query
781	can only utter	query
782	can play as	query
783	can refer to	query
784	cancelled due to	query
785	cancelled release of albums after	query
786	candidated as mayor of	query
787	canon of	query
788	canonised	query
789	capital in	query
790	capitalized on	query
791	capped his output with	query
792	captain of	query
793	captained by	query
794	captured	query
795	captured and destroyed	query
796	captured at	query
797	captured by	query
798	captured from	query
799	captured in	query
800	captured on	query
801	captures	query
802	career began in	query
803	career ended in	query
804	career included works in	query
805	career launched by	query
806	career peaked in	query
807	career spanned	query
808	career was	query
809	careers launched by	query
810	caretaker	query
811	carried out studies in	query
812	carried out studies until	query
813	carried out the assassination of	query
814	carried out the attack under the instruction of	query
815	carried the ball	query
816	carries	query
817	carries out engagements on behalf of	query
818	carries out mandates at	query
819	carries out post production work at	query
820	carries the torch of	query
821	carrying dispatches for	query
822	carved a middle path between	query
823	case was investigated by	query
824	cast for	query
825	cast in	query
826	cast include	query
827	cast includes	query
828	cast member of	query
829	cast members	query
830	castellan of	query
831	casting works in	query
832	catalogued for	query
833	categorized as	query
834	category	query
835	category for	query
836	caught in	query
837	caused	query
838	caused arrest of	query
839	caused by	query
840	caused conflicts with	query
841	caused controversy with	query
842	causes	query
843	ceased paying	query
844	ceased publication after	query
845	ceased publication in	query
846	ceased to be active	query
847	ceased to exist when	query
848	ceased to use	query
849	celebrated by	query
850	cemented links with	query
851	centers on	query
852	centralized	query
853	centred round	query
854	ceo of	query
855	certified	query
856	certified as	query
857	certified in	query
858	certified million by	query
859	certified singles as	query
860	chaired	query
861	chairman of	query
862	challenged	query
863	champion wrestler of	query
864	championed	query
865	chancellor to	query
866	changed allegiance to	query
867	changed her name to	query
868	changed his citizenship to	query
869	changed his name to	query
870	changed in	query
871	changed its name in	query
872	changed its name to	query
873	changed name to	query
874	changed surname to	query
875	changed the location to	query
876	changed the name of	query
877	changed the official title of	query
878	changed to	query
879	character named	query
880	character played by	query
881	characterized as	query
882	charged with adultery with	query
883	charlemagne as emperor over	query
884	charted hits in	query
885	charted in	query
886	charted on	query
887	charted singles in	query
888	chased after by	query
889	chases away	query
890	cheated out of	query
