	strings	type
0		query
1	00	query
2	1 140 meters	query
3	1 2 billion worldwide	query
4	1 2 million	query
5	1 310 696 copies	query
6	1 500 bce to contemporary period	query
7	1 90 m tall	query
8	1 april 1488	query
9	1 april 1511	query
10	1 april 1931	query
11	1 april 1940	query
12	1 april 1969	query
13	1 august 1167	query
14	1 august 1617	query
15	1 august 1702	query
16	1 august 1906	query
17	1 august 1914	query
18	1 august 1919	query
19	1 august 1937	query
20	1 august 1942	query
21	1 august 1981	query
22	1 august 2004	query
23	1 day	query
24	1 december 1049	query
25	1 december 1438	query
26	1 december 1488	query
27	1 december 1623	query
28	1 december 1636	query
29	1 december 1888	query
30	1 december 1933	query
31	1 december 1943	query
32	1 december 1967	query
33	1 december 1975	query
34	1 february 1685	query
35	1 february 1756	query
36	1 february 1966	query
37	1 february 1988	query
38	1 february 1997	query
39	1 february 2012	query
40	1 fille  4 types	query
41	1 in canadian dance music chart	query
42	1 in uk singles chart	query
43	1 january 1968	query
44	1 january 1970	query
45	1 january 1992	query
46	1 january 2016	query
47	1 july 1726	query
48	1 july 1922	query
49	1 july 1953	query
50	1 july 1960	query
51	1 july 2001	query
52	1 july 2016	query
53	1 june 1804	query
54	1 june 1901	query
55	1 june 1952	query
56	1 june 1955	query
57	1 june 2009	query
58	1 march 1586	query
59	1 march 1883	query
60	1 march 1902	query
61	1 march 1914	query
62	1 march 1917	query
63	1 march 1931	query
64	1 march 1932	query
65	1 march 1945	query
66	1 march 1990	query
67	1 march 2012	query
68	1 march 2019	query
69	1 may 1746	query
70	1 may 1751	query
71	1 may 1800	query
72	1 may 1850	query
73	1 may 1920	query
74	1 may 1937	query
75	1 may 1978	query
76	1 mi northeast of strathmore  california	query
77	1 mile apart from daucourt village	query
78	1 november 1550	query
79	1 november 1596	query
80	1 november 1651	query
81	1 november 1680	query
82	1 november 1704	query
83	1 november 1797	query
84	1 november 1813	query
85	1 november 1834	query
86	1 november 1889	query
87	1 november 1906	query
88	1 november 1914	query
89	1 november 1936	query
90	1 november 1970	query
91	1 november 1973	query
92	1 november 1977	query
93	1 november 1982	query
94	1 october	query
95	1 october 1586	query
96	1 october 1602	query
97	1 october 1631	query
98	1 october 1793	query
99	1 october 1888	query
100	1 october 1895	query
101	1 october 1929	query
102	1 october 1968	query
103	1 october 1969	query
104	1 on  billboard  hot 100	query
105	1 on billboard hot 100	query
106	1 on multiple south korean daily digital charts	query
107	1 september 1067	query
108	1 september 1198	query
109	1 september 1288	query
110	1 september 1384	query
111	1 september 1922	query
112	1 september 2000	query
113	1 september 2007	query
114	1 touchdown	query
115	10 000	query
116	10 000 to 40 000 years	query
117	10 6 million	query
118	10 994 votes	query
119	10 aerial victories	query
120	10 april 1905	query
121	10 april 1956	query
122	10 april 1960	query
123	10 april 1964	query
124	10 april 1979	query
125	10 april 401	query
126	10 august 1755	query
127	10 august 1759	query
128	10 august 1914	query
129	10 august 1960	query
130	10 august 1978	query
131	10 books	query
132	10 children	query
133	10 december 1713	query
134	10 december 1803	query
135	10 december 1930	query
136	10 december 1960	query
137	10 december 1996	query
138	10 february 1752	query
139	10 february 1780	query
140	10 february 1828	query
141	10 february 1855	query
142	10 february 1872	query
143	10 february 1983	query
144	10 foreign artists	query
145	10 in new zealand	query
146	10 january 1768	query
147	10 january 1925	query
148	10 january 1954	query
149	10 january 1960	query
150	10 january 1976	query
151	10 january 1977	query
152	10 january 2010	query
153	10 july 1099	query
154	10 july 1584	query
155	10 july 1707	query
156	10 july 1724	query
157	10 july 1883	query
158	10 july 1928	query
159	10 july 1945	query
160	10 july 1950	query
161	10 july 1958	query
162	10 july 1962	query
163	10 july 1965	query
164	10 july 1989	query
165	10 july 2015	query
166	10 june 1845	query
167	10 june 1903	query
168	10 june 1949	query
169	10 june 1976	query
170	10 june 1987	query
171	10 june 1989	query
172	10 june 2011	query
173	10 june 2018	query
174	10 march 1760	query
175	10 march 1873	query
176	10 march 1908	query
177	10 march 1936	query
178	10 may 1595	query
179	10 may 1884	query
180	10 may 1933	query
181	10 may 1961	query
182	10 may 1975	query
183	10 may 1977	query
184	10 may 2019	query
185	10 million copies	query
186	10 november 1698	query
187	10 november 1857	query
188	10 november 1858	query
189	10 november 1871	query
190	10 november 1901	query
191	10 november 1943	query
192	10 november 1950	query
193	10 november 1972	query
194	10 october 1503	query
195	10 october 1745	query
196	10 october 1918	query
197	10 october 1977	query
198	10 october 2009	query
199	10 october 2011	query
200	10 or 31 january 1677	query
201	10 september 1897	query
202	10 september 1928	query
203	10 september 2006	query
204	10 star entertainment	query
205	10 to midnight	query
206	100  day tenure	query
207	100  on rotten tomatoes	query
208	100 000 copies	query
209	100 000 grant from lannan foundation	query
210	100 days	query
211	100 films	query
212	100 m breaststroke	query
213	100 meter races	query
214	100 million records worldwide	query
215	100 yard races	query
216	100 yard sprints	query
217	1000   20	query
218	1008	query
219	1018	query
220	1019	query
221	102 branches	query
222	103 s  euclid ave	query
223	1031	query
224	1033	query
225	1036	query
226	1039 the beat	query
227	1040	query
228	1042	query
229	1044	query
230	1049	query
231	1050 chum in toronto on 2 december 1963	query
232	1060	query
233	1061	query
234	1066	query
235	107	query
236	107 films	query
237	107 westerns	query
238	1080	query
239	1089	query
240	109 minutes	query
241	109 yards	query
242	1090	query
243	1094	query
244	10th baron dacre	query
245	10th baron willoughby of parham	query
246	10th bishop of lyon	query
247	10th duke of medina sidonia	query
248	10th earl of carlisle	query
249	10th earl of desmond	query
250	10th earl of warwick	query
251	10th hong kong film awards	query
252	10th hussars	query
253	10th moscow international film festival	query
254	11	query
255	11 120	query
256	11 22 63	query
257	11 aby	query
258	11 april 1598	query
259	11 august 1676	query
260	11 august 1706	query
261	11 august 1844	query
262	11 december 1833	query
263	11 december 1974	query
264	11 december 1993	query
265	11 december 1996	query
266	11 december 2010	query
267	11 december 2013	query
268	11 described species	query
269	11 february 1647	query
270	11 february 1722 23	query
271	11 february 1953	query
272	11 february 1955	query
273	11 february 2011	query
274	11 harrowhouse	query
275	11 january 1096	query
276	11 january 1652	query
277	11 january 1673	query
278	11 january 1696	query
279	11 january 1837	query
280	11 january 1915	query
281	11 january 1936	query
282	11 january 1954	query
283	11 january 1955	query
284	11 january 1956	query
